STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
US1VTCL0006,2013-01-01,2.0,33.0,279.0,,,,
US1VTCL0006,2013-01-02,0.8,10.0,267.0,,,,
US1VTCL0006,2013-01-03,0.3,5.0,267.0,,,,
US1VTCL0006,2013-01-04,1.0,20.0,267.0,,,,
US1VTCL0006,2013-01-05,3.0,84.0,330.0,,,,
US1VTCL0006,2013-01-06,0.8,15.0,305.0,,,,
US1VTCL0006,2013-01-07,1.0,10.0,292.0,,,,
US1VTCL0006,2013-01-08,0.0,0.0,279.0,,,,
US1VTCL0006,2013-01-09,0.0,0.0,267.0,,,,
US1VTCL0006,2013-01-10,2.5,33.0,305.0,,,,
US1VTCL0006,2013-01-11,0.0,0.0,279.0,,,,
US1VTCL0006,2013-01-12,0.3,,254.0,,,,
US1VTCL0006,2013-01-13,0.3,,229.0,,,,
US1VTCL0006,2013-01-14,0.0,,152.0,,,,
US1VTCL0006,2013-01-15,0.0,0.0,127.0,,,,
US1VTCL0006,2013-01-16,0.0,0.0,114.0,,,,
US1VTCL0006,2013-01-17,5.3,84.0,203.0,,,,
US1VTCL0006,2013-01-18,0.0,0.0,178.0,,,,
US1VTCL0006,2013-01-19,5.8,147.0,305.0,,,,
US1VTCL0006,2013-01-20,0.0,0.0,305.0,,,,
US1VTCL0006,2013-01-21,0.8,8.0,254.0,,,,
US1VTCL0006,2013-01-22,1.3,13.0,267.0,,,,
US1VTCL0006,2013-01-23,0.0,3.0,267.0,,,,
US1VTCL0006,2013-01-24,0.0,0.0,254.0,,,,
US1VTCL0006,2013-01-25,0.0,0.0,241.0,,,,
US1VTCL0006,2013-01-26,0.0,0.0,229.0,,,,
US1VTCL0006,2013-01-27,0.3,3.0,229.0,,,,
US1VTCL0006,2013-01-28,0.0,0.0,229.0,,,,
US1VTCL0006,2013-01-29,7.1,107.0,305.0,,,,
US1VTCL0006,2013-01-30,3.0,,254.0,,,,
US1VTCL0006,2013-01-31,17.8,,127.0,,,,
US1VTCL0006,2013-02-01,2.3,10.0,140.0,,,,
US1VTCL0006,2013-02-02,0.0,0.0,127.0,,,,
US1VTCL0006,2013-02-03,0.5,3.0,127.0,,,,
US1VTCL0006,2013-02-04,0.3,5.0,127.0,,,,
US1VTCL0006,2013-02-05,0.0,0.0,114.0,,,,
US1VTCL0006,2013-02-06,0.0,0.0,114.0,,,,
US1VTCL0006,2013-02-07,0.0,3.0,114.0,,,,
US1VTCL0006,2013-02-08,1.8,41.0,140.0,,,,
US1VTCL0006,2013-02-09,10.7,137.0,279.0,,,,
US1VTCL0006,2013-02-10,0.0,0.0,254.0,,,,
US1VTCL0006,2013-02-11,0.0,0.0,241.0,,,,
US1VTCL0006,2013-02-12,3.8,10.0,254.0,,,,
US1VTCL0006,2013-02-13,2.5,28.0,254.0,,,,
US1VTCL0006,2013-02-14,0.0,0.0,229.0,,,,
US1VTCL0006,2013-02-15,0.0,0.0,229.0,,,,
US1VTCL0006,2013-02-16,0.3,3.0,229.0,,,,
US1VTCL0006,2013-02-17,0.0,0.0,229.0,,,,
US1VTCL0006,2013-02-18,0.5,0.0,203.0,,,,
US1VTCL0006,2013-02-19,0.0,0.0,191.0,,,,
US1VTCL0006,2013-02-20,5.8,86.0,279.0,,,,
US1VTCL0006,2013-02-21,1.0,41.0,292.0,,,,
US1VTCL0006,2013-02-22,0.3,3.0,292.0,,,,
US1VTCL0006,2013-02-23,0.0,0.0,279.0,,,,
US1VTCL0006,2013-02-24,6.6,74.0,356.0,,,,
US1VTCL0006,2013-02-25,3.0,18.0,330.0,,,,
US1VTCL0006,2013-02-26,0.0,0.0,330.0,,,,
US1VTCL0006,2013-02-27,0.0,0.0,318.0,,,,
US1VTCL0006,2013-02-28,4.1,30.0,356.0,,,,
US1VTCL0006,2013-03-01,0.8,3.0,305.0,,,,
