STATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
US1VTCL0040,2019-05-10,25.7,,,,
US1VTCL0040,2019-05-11,16.0,,,,
US1VTCL0040,2019-05-12,0.0,,,,
US1VTCL0040,2019-05-13,0.0,,,,
US1VTCL0040,2019-05-14,10.7,,,,
US1VTCL0040,2019-05-15,0.3,,,,
US1VTCL0040,2019-05-16,0.0,,,,
US1VTCL0040,2019-05-17,1.3,,,,
US1VTCL0040,2019-05-18,3.6,,,,
US1VTCL0040,2019-05-19,0.0,,,,
US1VTCL0040,2019-05-20,48.0,,,,
US1VTCL0040,2019-05-21,1.8,,,,
US1VTCL0040,2019-05-22,1.0,,,,
US1VTCL0040,2019-05-23,0.0,,,,
US1VTCL0040,2019-05-24,6.6,,,,
US1VTCL0040,2019-05-25,0.0,,,,
US1VTCL0040,2019-05-26,14.0,,,,
US1VTCL0040,2019-05-27,0.0,,,,
US1VTCL0040,2019-05-29,14.7,,,,
US1VTCL0040,2019-05-31,0.0,,,,
US1VTCL0040,2019-06-02,,,,,
US1VTCL0040,2019-06-03,5.1,,,,
US1VTCL0040,2019-06-04,0.3,,,,
US1VTCL0040,2019-06-05,3.8,,,,
US1VTCL0040,2019-06-06,17.0,,,,
US1VTCL0040,2019-06-07,0.0,,,,
US1VTCL0040,2019-06-08,0.0,,,,
US1VTCL0040,2019-06-09,0.0,,,,
US1VTCL0040,2019-06-10,0.0,,,,
US1VTCL0040,2019-06-11,16.5,,,,
US1VTCL0040,2019-06-12,0.0,,,,
US1VTCL0040,2019-06-13,0.0,,,,
US1VTCL0040,2019-06-14,3.3,,,,
US1VTCL0040,2019-06-17,,,,,
US1VTCL0040,2019-06-18,0.0,,,,
US1VTCL0040,2019-06-19,0.0,,,,
US1VTCL0040,2019-06-20,4.8,,,,
US1VTCL0040,2019-06-21,55.1,,,,
US1VTCL0040,2019-06-22,2.5,,,,
US1VTCL0040,2019-06-23,0.0,,,,
US1VTCL0040,2019-06-24,0.0,,,,
US1VTCL0040,2019-06-25,0.0,,,,
US1VTCL0040,2019-06-26,13.0,,,,
US1VTCL0040,2019-06-27,20.6,,,,
US1VTCL0040,2019-06-29,1.0,,,,
US1VTCL0040,2019-06-30,3.6,,,,
US1VTCL0040,2019-07-01,6.4,,,,
US1VTCL0040,2019-07-02,0.0,,,,
US1VTCL0040,2019-07-03,0.0,,,,
US1VTCL0040,2019-07-04,0.0,,,,
US1VTCL0040,2019-07-05,0.0,,,,
US1VTCL0040,2019-07-06,0.0,,,,
US1VTCL0040,2019-07-07,3.0,,,,
US1VTCL0040,2019-07-08,0.0,,,,
US1VTCL0040,2019-07-09,0.0,,,,
US1VTCL0040,2019-07-10,0.0,,,,
US1VTCL0040,2019-07-11,0.0,,,,
US1VTCL0040,2019-07-12,24.1,,,,
US1VTCL0040,2019-07-13,1.8,,,,
US1VTCL0040,2019-07-14,17.0,,,,
US1VTCL0040,2019-07-15,0.0,,,,
US1VTCL0040,2019-07-16,0.0,,,,
US1VTCL0040,2019-07-17,0.0,,,,
US1VTCL0040,2019-07-18,12.7,,,,
US1VTCL0040,2019-07-19,0.0,,,,
US1VTCL0040,2019-07-20,0.0,,,,
US1VTCL0040,2019-07-21,0.5,,,,
US1VTCL0040,2019-07-22,0.0,,,,
US1VTCL0040,2019-07-23,1.5,,,,
US1VTCL0040,2019-07-24,0.0,,,,
US1VTCL0040,2019-08-13,3.0,,,,
US1VTCL0040,2019-08-16,3.3,,,,
US1VTCL0040,2019-08-19,0.5,,,,
US1VTCL0040,2019-08-22,7.1,,,,
US1VTCL0040,2019-08-29,10.2,,,,
US1VTCL0040,2019-09-02,15.5,,,,
US1VTCL0040,2019-09-03,19.1,,,,
US1VTCL0040,2019-09-05,4.8,,,,
US1VTCL0040,2019-09-07,0.0,,,,
US1VTCL0040,2019-09-08,7.1,,,,
US1VTCL0040,2019-09-11,2.0,,,,
US1VTCL0040,2019-09-12,2.8,,,,
US1VTCL0040,2019-09-14,0.3,,,,
US1VTCL0040,2019-09-15,0.5,,,,
US1VTCL0040,2019-09-16,0.3,,,,
US1VTCL0040,2019-09-24,27.7,,,,
US1VTCL0040,2019-09-27,7.6,,,,
US1VTCL0040,2019-09-29,6.1,,,,
US1VTCL0040,2019-10-01,4.8,,,,
US1VTCL0040,2019-10-02,67.6,,,,
US1VTCL0040,2019-10-03,0.5,,,,
US1VTCL0040,2019-10-04,4.6,,,,
US1VTCL0040,2019-10-07,21.3,,,,
US1VTCL0040,2019-10-08,31.5,,,,
US1VTCL0040,2019-10-09,0.0,,,,
US1VTCL0040,2019-10-10,0.0,,,,
US1VTCL0040,2019-10-17,18.5,,,,
US1VTCL0040,2019-10-18,2.8,,,,
US1VTCL0040,2019-10-19,1.3,,,,
US1VTCL0040,2019-10-23,16.5,,,,
US1VTCL0040,2019-10-24,0.8,,,,
US1VTCL0040,2019-10-26,1.3,,,,
US1VTCL0040,2019-10-28,22.9,,,,
US1VTCL0040,2019-10-29,1.0,,,,
US1VTCL0040,2019-10-31,4.3,,,,
US1VTCL0040,2019-11-01,48.3,,,,
US1VTCL0040,2019-11-04,0.0,0.0,,,
US1VTCL0040,2019-11-05,0.5,,,,
US1VTCL0040,2019-11-06,0.5,0.0,,,
US1VTCL0040,2019-11-07,0.0,0.0,,,
US1VTCL0040,2019-11-16,1.0,5.0,,,
US1VTCL0040,2019-11-20,2.8,3.0,76.0,,
US1VTCL0040,2019-11-21,0.5,3.0,76.0,,
US1VTCL0040,2019-11-22,1.8,3.0,76.0,,
US1VTCL0040,2019-11-23,2.0,3.0,51.0,,
US1VTCL0040,2019-11-25,6.4,28.0,102.0,,
US1VTCL0040,2019-11-26,0.0,,76.0,,
US1VTCL0040,2019-11-28,19.1,0.0,64.0,,
US1VTCL0040,2019-11-29,0.5,0.0,64.0,,
US1VTCL0040,2019-12-01,0.0,3.0,64.0,,
US1VTCL0040,2019-12-02,0.5,3.0,64.0,,
US1VTCL0040,2019-12-03,0.3,3.0,64.0,,
US1VTCL0040,2019-12-05,0.3,5.0,76.0,,
US1VTCL0040,2019-12-06,0.5,25.0,89.0,,
US1VTCL0040,2019-12-07,2.3,36.0,114.0,,
US1VTCL0040,2019-12-08,0.0,,114.0,,
US1VTCL0040,2019-12-09,0.0,0.0,102.0,,
US1VTCL0040,2019-12-10,7.4,,51.0,,
US1VTCL0040,2019-12-11,0.8,,25.0,,
US1VTCL0040,2019-12-12,0.3,10.0,38.0,,
US1VTCL0040,2019-12-13,0.0,,38.0,,
US1VTCL0040,2019-12-14,13.0,,25.0,,
US1VTCL0040,2019-12-15,7.6,0.0,0.0,,
US1VTCL0040,2019-12-16,1.3,13.0,25.0,,
US1VTCL0040,2019-12-17,0.0,,25.0,,
US1VTCL0040,2019-12-18,7.1,127.0,140.0,,
US1VTCL0040,2019-12-19,2.5,64.0,191.0,,
US1VTCL0040,2019-12-24,0.0,,114.0,,
US1VTCL0040,2019-12-27,0.8,,102.0,,
US1VTCL0040,2020-01-04,0.5,,216.0,,
US1VTCL0040,2020-01-05,6.1,64.0,292.0,,
US1VTCL0040,2020-01-06,0.3,8.0,292.0,,
US1VTCL0040,2020-01-07,5.3,122.0,406.0,,
US1VTCL0040,2020-01-08,4.3,51.0,419.0,,
US1VTCL0040,2020-01-09,1.3,15.0,406.0,,
US1VTCL0040,2020-01-10,0.3,0.0,394.0,,
US1VTCL0040,2020-01-11,1.8,,343.0,,
US1VTCL0040,2020-01-12,25.1,,241.0,,
US1VTCL0040,2020-01-13,1.0,3.0,216.0,,
US1VTCL0040,2020-01-14,0.5,5.0,229.0,,
US1VTCL0040,2020-01-15,1.8,15.0,254.0,,
US1VTCL0040,2020-01-16,1.5,28.0,279.0,,
US1VTCL0040,2020-01-17,,84.0,343.0,,
US1VTCL0040,2020-01-19,11.4,165.0,508.0,,
US1VTCL0040,2020-01-21,0.0,0.0,470.0,,
US1VTCL0040,2020-01-23,0.0,,445.0,,
US1VTCL0040,2020-01-26,3.0,3.0,406.0,,
US1VTCL0040,2020-01-27,2.5,18.0,406.0,,
US1VTCL0040,2020-01-28,,10.0,419.0,,
US1VTCL0040,2020-01-29,0.3,5.0,419.0,,
US1VTCL0040,2020-02-03,0.3,0.0,406.0,,
US1VTCL0040,2020-02-06,5.1,53.0,470.0,,
US1VTCL0040,2020-02-07,8.1,30.0,483.0,,
US1VTCL0040,2020-02-08,23.9,112.0,635.0,,
US1VTCL0040,2020-02-10,2.8,58.0,635.0,,
US1VTCL0040,2020-02-11,2.8,33.0,660.0,,
US1VTCL0040,2020-02-12,2.3,33.0,686.0,,
US1VTCL0040,2020-02-13,0.0,3.0,686.0,,
US1VTCL0040,2020-02-14,2.3,15.0,686.0,,
US1VTCL0040,2020-02-26,0.3,,635.0,,
US1VTCL0040,2020-02-27,1.3,,584.0,,
US1VTCL0040,2020-02-29,0.5,13.0,711.0,,
US1VTCL0040,2020-03-01,0.8,8.0,711.0,,
US1VTCL0040,2020-03-02,0.3,3.0,699.0,,
US1VTCL0040,2020-03-03,2.3,,660.0,,
US1VTCL0040,2020-03-04,5.6,,610.0,,
US1VTCL0040,2020-03-05,1.5,13.0,572.0,,
US1VTCL0040,2020-03-11,6.4,,,,
US1VTCL0040,2020-03-13,5.6,0.0,394.0,,
US1VTCL0040,2020-03-20,2.0,,356.0,,
US1VTCL0040,2020-03-21,2.3,,305.0,,
US1VTCL0040,2020-03-24,17.3,198.0,508.0,,
US1VTCL0040,2020-03-27,0.5,,330.0,,
US1VTCL0040,2020-03-30,22.1,8.0,229.0,,
US1VTCL0040,2020-04-03,5.3,,203.0,,
US1VTCL0040,2020-04-10,28.7,58.0,58.0,,
US1VTCL0040,2020-04-11,3.3,10.0,46.0,,
US1VTCL0040,2020-04-13,1.3,,0.0,,
US1VTCL0040,2020-04-14,30.0,,,,
US1VTCL0040,2020-04-16,1.3,18.0,18.0,,
US1VTCL0040,2020-04-22,10.4,20.0,20.0,,
US1VTCL0040,2020-04-23,1.5,13.0,13.0,,
US1VTCL0040,2020-04-27,13.5,0.0,0.0,,
US1VTCL0040,2020-05-01,9.9,,,,
US1VTCL0040,2020-05-02,0.8,,,,
US1VTCL0040,2020-05-09,6.1,94.0,94.0,,
US1VTCL0040,2020-05-16,16.8,,,,
US1VTCL0040,2020-05-30,20.3,,,,
US1VTCL0040,2020-05-31,2.3,,,,
US1VTCL0040,2020-06-03,1.3,,,,
US1VTCL0040,2020-06-06,7.6,,,,
US1VTCL0040,2020-06-07,1.5,,,,
US1VTCL0040,2020-06-24,4.1,,,,
US1VTCL0040,2020-06-29,5.1,,,,
US1VTCL0040,2020-06-30,11.4,,,,
US1VTCL0040,2020-07-01,4.6,,,,
US1VTCL0040,2020-07-02,24.4,,,,
US1VTCL0040,2020-07-03,1.5,,,,
US1VTCL0040,2020-07-04,0.0,,,,
US1VTCL0040,2020-07-09,1.5,,,,
US1VTCL0040,2020-07-12,15.0,,,,
US1VTCL0040,2020-07-13,2.8,,,,
US1VTCL0040,2020-07-14,0.8,,,,
US1VTCL0040,2020-07-15,16.8,,,,
US1VTCL0040,2020-07-17,8.1,,,,
US1VTCL0040,2020-07-20,7.1,,,,
US1VTCL0040,2020-07-23,0.0,,,,
US1VTCL0040,2020-07-24,5.6,,,,
US1VTCL0040,2020-07-27,0.3,,,,
US1VTCL0040,2020-07-28,4.6,,,,
US1VTCL0040,2020-07-29,3.8,,,,
US1VTCL0040,2020-08-10,3.0,,,,
US1VTCL0040,2020-08-12,9.9,,,,
US1VTCL0040,2020-08-18,10.4,,,,
US1VTCL0040,2020-08-19,2.3,,,,
US1VTCL0040,2020-08-21,0.3,,,,
US1VTCL0040,2020-08-24,14.0,,,,
US1VTCL0040,2020-08-26,0.5,,,,
US1VTCL0040,2020-08-29,11.4,,,,
US1VTCL0040,2020-08-30,3.6,,,,
US1VTCL0040,2020-08-31,0.5,,,,
US1VTCL0040,2020-09-03,3.8,,,,
US1VTCL0040,2020-09-06,1.5,,,,
US1VTCL0040,2020-09-14,2.8,,,,
US1VTCL0040,2020-10-11,23.9,,,,
US1VTCL0040,2020-10-14,18.8,,,,
US1VTCL0040,2020-10-17,47.2,20.0,20.0,,
US1VTCL0040,2020-10-20,1.8,,,,
US1VTCL0040,2020-10-21,3.6,,,,
US1VTCL0040,2020-10-22,4.6,,,,
US1VTCL0040,2020-10-24,0.5,,,,
US1VTCL0040,2020-10-27,7.9,0.0,,,
