STATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00438169,2007-10-01,0.0,0.0,0.0,17.2,2.8
USC00438169,2007-10-02,0.0,0.0,0.0,17.8,7.2
USC00438169,2007-10-03,0.0,0.0,0.0,20.0,7.8
USC00438169,2007-10-04,0.0,0.0,0.0,23.9,11.1
USC00438169,2007-10-05,0.0,0.0,0.0,25.0,6.1
USC00438169,2007-10-06,0.0,0.0,0.0,21.1,8.9
USC00438169,2007-10-07,18.0,0.0,0.0,14.4,6.7
USC00438169,2007-10-08,10.9,0.0,0.0,,5.6
USC00438169,2007-10-09,,0.0,0.0,,
USC00438169,2007-10-10,,0.0,0.0,,
USC00438169,2007-10-11,0.0,0.0,0.0,13.3,
USC00438169,2007-10-12,15.5,0.0,0.0,10.0,8.3
USC00438169,2007-10-13,1.8,0.0,0.0,11.7,-1.7
USC00438169,2007-10-14,3.3,0.0,0.0,6.7,-1.7
USC00438169,2007-10-15,1.0,0.0,0.0,7.2,1.7
USC00438169,2007-10-16,0.0,0.0,0.0,11.7,2.8
USC00438169,2007-10-17,0.0,0.0,0.0,14.4,-2.2
USC00438169,2007-10-18,0.0,0.0,0.0,18.3,-2.2
USC00438169,2007-10-19,0.0,0.0,0.0,18.3,5.6
USC00438169,2007-10-20,27.9,0.0,0.0,18.3,11.7
USC00438169,2007-10-21,1.8,0.0,0.0,21.7,6.1
USC00438169,2007-10-22,0.0,0.0,0.0,24.4,5.6
USC00438169,2007-10-23,2.3,0.0,0.0,16.7,6.1
USC00438169,2007-10-24,22.4,0.0,0.0,8.9,3.3
USC00438169,2007-10-25,0.0,0.0,0.0,13.3,0.6
USC00438169,2007-10-26,0.0,0.0,0.0,12.8,-1.1
USC00438169,2007-10-27,9.9,0.0,0.0,12.8,-0.6
USC00438169,2007-10-28,32.3,0.0,0.0,6.1,1.1
USC00438169,2007-10-29,0.3,0.0,0.0,3.3,-6.1
USC00438169,2007-10-30,0.5,0.0,0.0,11.7,-5.6
USC00438169,2007-10-31,0.0,0.0,0.0,13.9,-2.2
USC00438169,2007-11-01,0.0,0.0,0.0,8.3,1.1
USC00438169,2007-11-02,1.8,0.0,0.0,8.3,-4.4
USC00438169,2007-11-03,0.0,0.0,0.0,4.4,-2.8
USC00438169,2007-11-04,0.0,0.0,0.0,8.9,-3.9
USC00438169,2007-11-05,0.0,0.0,0.0,7.8,-3.9
USC00438169,2007-11-06,16.8,0.0,0.0,5.0,-1.1
USC00438169,2007-11-07,10.2,8.0,0.0,2.8,-2.8
