STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1997-02-20,4.1,25.0,711.0,,8.9,-8.3,-8.3
USC00439184,1997-02-21,2.5,0.0,711.0,,1.7,-5.0,-1.1
USC00439184,1997-02-22,3.8,0.0,610.0,,8.3,4.4,7.8
USC00439184,1997-02-23,4.1,0.0,508.0,,13.9,-14.4,-14.4
USC00439184,1997-02-24,0.8,25.0,533.0,,-3.9,-12.2,-7.8
USC00439184,1997-02-25,0.5,13.0,559.0,,-5.0,-21.1,-21.1
USC00439184,1997-02-26,0.0,0.0,559.0,,-8.3,-14.4,-9.4
USC00439184,1997-02-27,3.3,0.0,508.0,,7.2,1.1,1.1
USC00439184,1997-02-28,9.7,0.0,508.0,,4.4,-4.4,-4.4
USC00439184,1997-03-01,0.0,0.0,508.0,,-0.6,-7.8,-2.2
USC00439184,1997-03-02,4.1,0.0,457.0,,1.7,0.0,1.7
USC00439184,1997-03-03,8.1,5.0,457.0,,7.2,-7.8,-7.8
USC00439184,1997-03-04,0.0,0.0,457.0,,-1.1,-8.9,-8.9
USC00439184,1997-03-05,2.5,25.0,483.0,,-1.1,-3.9,-3.9
USC00439184,1997-03-06,20.3,254.0,737.0,,1.7,-1.1,-1.1
USC00439184,1997-03-07,12.2,178.0,889.0,,1.1,-13.3,-13.3
USC00439184,1997-03-08,0.0,0.0,864.0,,-8.3,-17.8,-17.8
USC00439184,1997-03-09,3.8,25.0,864.0,,-3.3,-27.2,-27.2
USC00439184,1997-03-10,4.1,76.0,914.0,,-1.7,-11.1,-7.2
USC00439184,1997-03-11,0.0,0.0,914.0,,2.2,-7.8,-7.8
USC00439184,1997-03-12,2.5,76.0,914.0,,1.7,-15.0,-15.0
USC00439184,1997-03-13,0.0,0.0,889.0,,-3.9,-19.4,-17.8
USC00439184,1997-03-14,0.0,0.0,889.0,,-9.4,-22.8,-20.0
USC00439184,1997-03-15,12.2,127.0,940.0,,-2.8,-9.4,-3.9
USC00439184,1997-03-16,2.8,25.0,940.0,,-1.1,-12.8,-12.8
USC00439184,1997-03-17,0.0,0.0,940.0,,-8.3,-25.0,-23.9
USC00439184,1997-03-25,,,,,,-22.2,-22.2
USC00439184,1997-03-26,,,,,4.4,-3.9,1.1
USC00439184,1997-03-27,,,,,4.4,-5.0,-5.0
USC00439184,1997-03-28,,,,,8.3,-7.8,-7.2
USC00439184,1997-03-29,,,,,13.3,0.0,2.2
USC00439184,1997-03-30,,,,,12.8,1.1,1.1
USC00439184,1997-03-31,,,,,4.4,-1.1,0.0
USC00439184,1997-04-01,,,,,1.7,-7.2,-7.2
USC00439184,1997-04-02,0.0,0.0,0.0,,2.2,-7.2,-4.4
USC00439184,1997-04-03,0.0,0.0,0.0,,2.8,-8.3,-8.3
USC00439184,1997-04-04,0.0,0.0,0.0,,8.3,0.0,3.9
USC00439184,1997-04-05,0.0,0.0,0.0,,5.0,-6.1,-4.4
USC00439184,1997-04-06,,0.0,0.0,,12.2,1.7,2.8
USC00439184,1997-04-07,0.0,0.0,0.0,,10.0,2.2,5.0
USC00439184,1997-04-08,0.0,0.0,0.0,,12.2,-5.0,-4.4
USC00439184,1997-04-09,,25.0,,,-1.1,-14.4,-13.9
USC00439184,1997-04-10,0.0,0.0,,,-4.4,-11.7,-11.7
USC00439184,1997-04-11,0.0,0.0,,,-0.6,-13.3,-13.3
USC00439184,1997-04-12,0.0,0.0,,,7.2,-9.4,-8.9
USC00439184,1997-04-13,,38.0,,,5.6,-1.7,0.0
USC00439184,1997-04-14,,13.0,,,3.3,-2.2,-2.2
USC00439184,1997-04-15,0.0,0.0,,,5.0,-10.6,-10.0
USC00439184,1997-04-16,0.0,0.0,,,6.7,-6.1,-6.1
USC00439184,1997-04-17,0.0,0.0,0.0,,15.6,0.0,0.0
USC00439184,1997-04-18,0.0,0.0,0.0,,10.6,0.6,0.6
USC00439184,1997-04-19,,30.0,,,3.3,0.6,0.6
USC00439184,1997-04-20,0.0,0.0,,,8.3,-3.3,-2.8
USC00439184,1997-04-21,0.0,0.0,,,13.3,1.7,1.7
USC00439184,1997-04-22,0.0,0.0,0.0,,10.6,-2.2,-2.2
USC00439184,1997-04-23,0.0,0.0,0.0,,11.7,-2.2,-2.2
USC00439184,1997-04-24,0.0,0.0,0.0,,13.9,-1.7,-1.1
USC00439184,1997-04-25,0.0,0.0,0.0,,12.2,1.7,2.2
USC00439184,1997-04-26,0.0,0.0,0.0,,10.0,-1.1,0.6
USC00439184,1997-04-27,0.0,0.0,0.0,,12.2,-5.0,-3.3
USC00439184,1997-04-28,0.0,0.0,0.0,,16.1,2.8,0.6
USC00439184,1997-04-29,0.0,0.0,0.0,,2.8,-1.1,-0.6
USC00439184,1997-04-30,0.0,0.0,0.0,,11.1,-1.1,-0.6
USC00439184,1997-05-01,,0.0,0.0,,22.2,5.6,9.4
