PRISM Time Series Data
Location:  Lat: 44.4060   Lon: -72.2102   Elev: 1572ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 1981-01-01 - 2026-03-28
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Mar-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01-01,0.00,-11.7,-1.4,9.0
1981-01-02,0.07,-13.1,1.4,15.8
1981-01-03,0.04,-22.1,-0.6,20.9
1981-01-04,0.00,-31.0,-19.2,-7.4
1981-01-05,0.02,-30.2,-19.9,-9.7
1981-01-06,0.00,-15.7,-4.3,7.1
1981-01-07,0.15,-6.1,7.8,21.7
1981-01-08,0.04,-6.9,9.7,26.4
1981-01-09,0.00,-16.5,-5.9,4.7
1981-01-10,0.00,-14.4,-1.0,12.5
1981-01-11,0.00,-15.3,-1.0,13.4
1981-01-12,0.00,-23.3,-13.2,-3.2
1981-01-13,0.00,-23.9,-9.3,5.3
1981-01-14,0.00,-21.7,-7.6,6.5
1981-01-15,0.00,-19.9,-5.2,9.4
1981-01-16,0.00,-13.5,2.6,18.6
1981-01-17,0.11,-10.6,2.8,16.2
1981-01-18,0.00,-15.1,-2.0,11.2
1981-01-19,0.07,-4.4,9.8,24.0
1981-01-20,0.00,10.0,21.3,32.5
1981-01-21,0.00,-12.1,1.8,15.7
1981-01-22,0.05,-11.1,4.6,20.3
1981-01-23,0.02,11.3,18.9,26.6
1981-01-24,0.01,11.7,19.5,27.3
1981-01-25,0.00,-1.2,11.9,25.1
1981-01-26,0.00,2.2,16.9,31.6
1981-01-27,0.00,22.9,31.5,40.1
1981-01-28,0.01,13.7,25.3,36.9
1981-01-29,0.00,-2.6,8.3,19.3
1981-01-30,0.02,-4.1,4.9,13.9
1981-01-31,0.00,-12.2,-0.9,10.3
1981-02-01,0.00,-11.6,6.1,23.7
1981-02-02,0.53,-2.2,19.3,40.7
1981-02-03,0.85,12.0,28.8,45.7
1981-02-04,0.00,-5.4,4.1,13.6
1981-02-05,0.00,-5.2,3.6,12.5
1981-02-06,0.00,-4.5,3.4,11.4
1981-02-07,0.00,0.3,11.0,21.7
1981-02-08,0.00,9.4,19.4,29.4
1981-02-09,0.59,18.9,26.2,33.5
1981-02-10,0.00,-2.0,11.1,24.2
1981-02-11,0.19,0.1,19.7,39.3
1981-02-12,0.92,11.7,32.5,53.3
1981-02-13,0.01,-5.0,3.3,11.6
1981-02-14,0.00,-4.1,10.4,24.9
1981-02-15,0.00,9.9,19.3,28.6
1981-02-16,0.00,14.8,25.2,35.6
1981-02-17,0.00,22.0,33.5,45.0
1981-02-18,0.00,28.0,40.2,52.4
1981-02-19,0.00,27.6,41.4,55.1
1981-02-20,0.13,29.6,42.7,55.8
1981-02-21,0.07,38.2,46.3,54.5
1981-02-22,0.00,35.2,43.8,52.5
1981-02-23,0.00,28.6,39.5,50.3
1981-02-24,0.17,30.9,40.5,50.1
1981-02-25,1.41,30.4,36.0,41.7
1981-02-26,0.37,29.2,32.2,35.2
1981-02-27,0.04,25.8,30.1,34.4
1981-02-28,0.06,15.2,25.0,34.8
1981-03-01,0.13,16.4,25.5,34.6
1981-03-02,0.00,25.6,30.2,34.7
1981-03-03,0.04,15.5,24.7,34.0
1981-03-04,0.00,-1.2,9.3,19.8
1981-03-05,0.00,0.4,14.2,28.1
1981-03-06,0.00,2.9,18.7,34.5
1981-03-07,0.15,22.0,27.6,33.1
1981-03-08,0.00,28.2,32.3,36.4
1981-03-09,0.00,26.6,30.3,33.9
1981-03-10,0.04,23.8,29.8,35.9
1981-03-11,0.04,22.7,28.3,34.0
1981-03-12,0.03,12.4,22.8,33.3
1981-03-13,0.00,16.5,24.7,33.0
1981-03-14,0.04,17.4,27.8,38.3
1981-03-15,0.00,7.3,13.5,19.7
1981-03-16,0.03,17.3,28.3,39.2
1981-03-17,0.00,4.5,14.9,25.4
1981-03-18,0.00,6.5,15.3,24.1
1981-03-19,0.00,4.0,13.4,22.8
